# Total velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
141.397,8.672,2.664,0.014,1576.183,1305.982
143.264,8.663,2.662,0.014,1576.511,1305.603
145.132,8.654,2.661,0.014,1576.851,1305.223
147.001,8.645,2.659,0.014,1577.205,1304.842
148.871,8.636,2.658,0.014,1577.57,1304.461
150.742,8.626,2.656,0.014,1577.947,1304.079
152.613,8.617,2.655,0.014,1578.336,1303.695
154.486,8.608,2.653,0.014,1578.736,1303.311
156.36,8.599,2.652,0.014,1579.147,1302.927
158.234,8.59,2.65,0.014,1579.569,1302.541
160.109,8.581,2.649,0.014,1580,1302.155
161.985,8.572,2.647,0.014,1580.439,1301.768
163.862,8.563,2.646,0.014,1580.887,1301.38
165.74,8.554,2.644,0.014,1581.342,1300.991
167.618,8.545,2.643,0.014,1581.802,1300.601
169.497,8.536,2.641,0.014,1582.257,1300.211
171.376,8.527,2.64,0.014,1582.6,1299.819
173.257,8.518,2.638,0.014,1582.956,1299.427
175.138,8.509,2.637,0.014,1583.327,1299.034
177.019,8.5,2.635,0.014,1583.713,1298.641
178.901,8.491,2.634,0.014,1584.115,1298.246
180.784,8.482,2.632,0.014,1584.535,1297.85
182.667,8.473,2.63,0.014,1584.973,1297.454
184.551,8.464,2.629,0.014,1585.431,1297.057
186.435,8.455,2.627,0.014,1585.907,1296.659
188.32,8.446,2.626,0.014,1586.403,1296.26
190.205,8.436,2.624,0.014,1586.919,1295.86
192.091,8.427,2.623,0.014,1587.454,1295.46
193.977,8.418,2.621,0.014,1588.009,1295.058
195.863,8.409,2.62,0.014,1588.583,1294.656
197.749,8.4,2.618,0.014,1589.176,1294.253
199.636,8.391,2.616,0.014,1589.786,1293.849
201.523,8.382,2.615,0.014,1590.413,1293.444
203.41,8.373,2.613,0.014,1591.056,1293.039
205.296,8.364,2.612,0.014,1591.713,1292.633
207.182,8.355,2.61,0.014,1592.382,1292.226
