# Total velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
242.841,6.687,2.26,0.013,1609.496,1198.229
242.596,6.687,2.26,0.013,1609.384,1198.229
242.352,6.687,2.26,0.013,1609.273,1198.229
242.107,6.687,2.26,0.013,1609.162,1198.229
241.864,6.687,2.26,0.013,1609.052,1198.229
241.62,6.687,2.26,0.013,1608.943,1198.229
241.377,6.687,2.26,0.013,1608.833,1198.229
241.134,6.687,2.26,0.013,1608.725,1198.229
240.892,6.687,2.26,0.013,1608.617,1198.229
240.65,6.687,2.26,0.013,1608.509,1198.229
240.409,6.687,2.26,0.013,1608.401,1198.229
240.168,6.687,2.26,0.013,1608.292,1198.229
239.927,6.687,2.26,0.013,1608.184,1198.229
239.687,6.687,2.26,0.013,1608.076,1198.229
239.447,6.687,2.26,0.013,1607.968,1198.229
239.208,6.687,2.26,0.013,1607.861,1198.229
238.969,6.687,2.26,0.013,1607.754,1198.229
238.73,6.687,2.26,0.013,1607.648,1198.229
238.492,6.687,2.26,0.013,1607.543,1198.229
238.254,6.687,2.26,0.013,1607.439,1198.229
238.017,6.687,2.26,0.013,1607.335,1198.229
237.779,6.687,2.26,0.013,1607.231,1198.229
237.543,6.687,2.26,0.013,1607.128,1198.229
237.306,6.687,2.26,0.013,1607.025,1198.229
237.07,6.687,2.26,0.013,1606.922,1198.229
236.835,6.687,2.26,0.013,1606.817,1198.229
236.599,6.687,2.26,0.013,1606.715,1198.229
236.365,6.687,2.26,0.013,1606.612,1198.229
236.13,6.687,2.26,0.013,1606.51,1198.229
235.896,6.687,2.26,0.013,1606.407,1198.229
235.662,6.687,2.26,0.013,1606.305,1198.229
235.429,6.687,2.26,0.013,1606.204,1198.229
235.196,6.687,2.26,0.013,1606.104,1198.229
234.963,6.687,2.26,0.013,1606.004,1198.229
234.731,6.687,2.26,0.013,1605.905,1198.229
234.499,6.687,2.26,0.013,1605.806,1198.229
234.267,6.687,2.26,0.013,1605.707,1198.229
234.036,6.687,2.26,0.013,1605.607,1198.229
233.805,6.687,2.26,0.013,1605.508,1198.229
233.575,6.687,2.26,0.013,1605.409,1198.229
233.345,6.687,2.26,0.013,1605.31,1198.229
233.115,6.687,2.26,0.013,1605.211,1198.229
232.886,6.687,2.26,0.013,1605.113,1198.229
232.656,6.687,2.26,0.013,1605.016,1198.229
232.428,6.687,2.26,0.013,1604.919,1198.229
232.199,6.687,2.26,0.013,1604.824,1198.229
231.971,6.687,2.26,0.013,1604.728,1198.229
231.744,6.687,2.26,0.013,1604.634,1198.229
231.516,6.687,2.26,0.013,1604.539,1198.229
231.289,6.687,2.26,0.013,1604.445,1198.229
231.063,6.687,2.26,0.013,1604.35,1198.229
230.836,6.687,2.26,0.013,1604.254,1198.229
230.61,6.687,2.26,0.013,1604.158,1198.229
230.385,6.687,2.26,0.013,1604.063,1198.229
230.159,6.687,2.26,0.013,1603.968,1198.229
229.935,6.687,2.26,0.013,1603.874,1198.229
229.71,6.687,2.26,0.013,1603.781,1198.229
229.486,6.687,2.26,0.013,1603.689,1198.229
229.262,6.687,2.26,0.013,1603.597,1198.229
229.038,6.687,2.26,0.013,1603.505,1198.229
228.815,6.687,2.26,0.013,1603.414,1198.229
228.592,6.687,2.26,0.013,1603.323,1198.229
228.369,6.687,2.26,0.013,1603.231,1198.229
228.147,6.687,2.26,0.013,1603.139,1198.229
227.925,6.687,2.26,0.013,1603.047,1198.229
227.703,6.687,2.26,0.013,1602.955,1198.229
227.482,6.687,2.26,0.013,1602.864,1198.229
227.261,6.687,2.26,0.013,1602.773,1198.229
227.04,6.687,2.26,0.013,1602.682,1198.229
226.82,6.687,2.26,0.013,1602.592,1198.229
226.6,6.687,2.26,0.013,1602.503,1198.229
226.38,6.687,2.26,0.013,1602.414,1198.229
226.161,6.687,2.26,0.013,1602.326,1198.229
225.941,6.687,2.26,0.013,1602.238,1198.229
225.723,6.687,2.26,0.013,1602.151,1198.229
225.504,6.687,2.26,0.013,1602.064,1198.229
225.286,6.687,2.26,0.013,1601.976,1198.229
225.068,6.687,2.26,0.013,1601.887,1198.229
224.851,6.687,2.26,0.013,1601.798,1198.229
224.633,6.687,2.26,0.013,1601.71,1198.229
224.416,6.687,2.26,0.013,1601.622,1198.229
224.2,6.687,2.26,0.013,1601.534,1198.229
223.983,6.687,2.26,0.013,1601.448,1198.229
223.767,6.687,2.26,0.013,1601.362,1198.229
223.552,6.687,2.26,0.013,1601.277,1198.229
223.336,6.687,2.26,0.013,1601.192,1198.229
223.121,6.687,2.26,0.013,1601.108,1198.229
222.906,6.687,2.26,0.013,1601.024,1198.229
222.692,6.687,2.26,0.013,1600.941,1198.229
222.478,6.687,2.26,0.013,1600.857,1198.229
222.264,6.687,2.26,0.013,1600.772,1198.229
222.05,6.687,2.26,0.013,1600.687,1198.229
221.837,6.687,2.26,0.013,1600.602,1198.229
221.624,6.687,2.26,0.013,1600.518,1198.229
221.411,6.687,2.26,0.013,1600.435,1198.229
221.199,6.687,2.26,0.013,1600.351,1198.229
220.986,6.687,2.26,0.013,1600.268,1198.229
220.775,6.687,2.26,0.013,1600.186,1198.229
220.563,6.687,2.26,0.013,1600.105,1198.229
220.352,6.687,2.26,0.013,1600.022,1198.229
220.141,6.687,2.26,0.013,1599.941,1198.229
219.93,6.687,2.26,0.013,1599.861,1198.229
219.72,6.687,2.26,0.013,1599.78,1198.229
219.509,6.687,2.26,0.013,1599.698,1198.229
219.3,6.687,2.26,0.013,1599.616,1198.229
219.09,6.687,2.26,0.013,1599.536,1198.229
218.881,6.687,2.26,0.013,1599.456,1198.229
218.672,6.687,2.26,0.013,1599.375,1198.229
218.463,6.687,2.26,0.013,1599.295,1198.229
218.254,6.687,2.26,0.013,1599.215,1198.229
218.046,6.687,2.26,0.013,1599.136,1198.229
217.838,6.687,2.26,0.013,1599.057,1198.229
217.631,6.687,2.26,0.013,1598.978,1198.229
217.423,6.687,2.26,0.013,1598.899,1198.229
217.216,6.687,2.26,0.013,1598.82,1198.229
217.01,6.687,2.26,0.013,1598.742,1198.229
216.803,6.687,2.26,0.013,1598.664,1198.229
216.597,6.687,2.26,0.013,1598.586,1198.229
216.391,6.687,2.26,0.013,1598.507,1198.229
216.185,6.687,2.26,0.013,1598.43,1198.229
215.98,6.687,2.26,0.013,1598.352,1198.229
215.774,6.687,2.26,0.013,1598.275,1198.229
215.57,6.687,2.26,0.013,1598.198,1198.229
215.365,6.687,2.26,0.013,1598.121,1198.229
215.161,6.687,2.26,0.013,1598.044,1198.229
214.956,6.687,2.26,0.013,1597.967,1198.229
214.753,6.687,2.26,0.013,1597.891,1198.229
214.549,6.687,2.26,0.013,1597.815,1198.229
214.346,6.687,2.26,0.013,1597.74,1198.229
214.143,6.687,2.26,0.013,1597.664,1198.229
213.94,6.687,2.26,0.013,1597.589,1198.229
213.737,6.687,2.26,0.013,1597.515,1198.229
213.535,6.687,2.26,0.013,1597.441,1198.229
213.333,6.687,2.26,0.013,1597.368,1198.229
213.131,6.687,2.26,0.013,1597.295,1198.229
212.93,6.687,2.26,0.013,1597.221,1198.229
212.728,6.687,2.26,0.013,1597.146,1198.229
212.527,6.687,2.26,0.013,1597.071,1198.229
212.326,6.687,2.26,0.013,1596.997,1198.229
212.126,6.687,2.26,0.013,1596.923,1198.229
211.926,6.687,2.26,0.013,1596.85,1198.229
211.726,6.687,2.26,0.013,1596.777,1198.229
211.526,6.687,2.26,0.013,1596.704,1198.229
211.326,6.687,2.26,0.013,1596.632,1198.229
211.127,6.687,2.26,0.013,1596.559,1198.229
210.928,6.687,2.26,0.013,1596.487,1198.229
210.729,6.687,2.26,0.013,1596.416,1198.229
210.531,6.687,2.26,0.013,1596.344,1198.229
210.332,6.687,2.26,0.013,1596.273,1198.229
210.134,6.687,2.26,0.013,1596.202,1198.229
209.937,6.687,2.26,0.013,1596.131,1198.229
209.739,6.687,2.26,0.013,1596.06,1198.229
209.542,6.687,2.26,0.013,1595.99,1198.229
209.345,6.687,2.26,0.013,1595.92,1198.229
209.148,6.687,2.26,0.013,1595.851,1198.229
208.951,6.687,2.26,0.013,1595.781,1198.229
208.755,6.687,2.26,0.013,1595.712,1198.229
208.559,6.687,2.26,0.013,1595.642,1198.229
208.363,6.687,2.26,0.013,1595.573,1198.229
208.167,6.687,2.26,0.013,1595.503,1198.229
207.972,6.687,2.26,0.013,1595.433,1198.229
207.777,6.687,2.26,0.013,1595.364,1198.229
207.582,6.687,2.26,0.013,1595.294,1198.229
207.387,6.687,2.26,0.013,1595.225,1198.229
207.193,6.687,2.26,0.013,1595.157,1198.229
206.998,6.687,2.26,0.013,1595.089,1198.229
206.804,6.687,2.26,0.013,1595.021,1198.229
206.611,6.687,2.26,0.013,1594.953,1198.229
206.417,6.687,2.26,0.013,1594.885,1198.229
206.224,6.687,2.26,0.013,1594.818,1198.229
206.031,6.687,2.26,0.013,1594.751,1198.229
205.838,6.687,2.26,0.013,1594.684,1198.229
205.645,6.687,2.26,0.013,1594.618,1198.229
205.453,6.687,2.26,0.013,1594.552,1198.229
205.26,6.687,2.26,0.013,1594.486,1198.229
205.069,6.687,2.26,0.013,1594.419,1198.229
204.877,6.687,2.26,0.013,1594.353,1198.229
204.685,6.687,2.26,0.013,1594.286,1198.229
204.494,6.687,2.26,0.013,1594.22,1198.229
204.303,6.687,2.26,0.013,1594.154,1198.229
204.112,6.687,2.26,0.013,1594.088,1198.229
203.922,6.687,2.26,0.013,1594.022,1198.229
203.731,6.687,2.26,0.013,1593.957,1198.229
203.541,6.687,2.26,0.013,1593.892,1198.229
203.351,6.687,2.26,0.013,1593.828,1198.229
203.161,6.687,2.26,0.013,1593.763,1198.229
202.972,6.687,2.26,0.013,1593.7,1198.229
202.782,6.687,2.26,0.013,1593.636,1198.229
202.593,6.687,2.26,0.013,1593.573,1198.229
202.405,6.687,2.26,0.013,1593.51,1198.229
202.216,6.687,2.26,0.013,1593.447,1198.229
202.027,6.687,2.26,0.013,1593.383,1198.229
201.839,6.687,2.26,0.013,1593.32,1198.229
201.651,6.687,2.26,0.013,1593.256,1198.229
201.463,6.687,2.26,0.013,1593.192,1198.229
201.276,6.687,2.26,0.013,1593.128,1198.229
201.089,6.687,2.26,0.013,1593.065,1198.229
200.901,6.687,2.26,0.013,1593.002,1198.229
200.714,6.687,2.26,0.013,1592.939,1198.229
200.528,6.687,2.26,0.013,1592.878,1198.229
200.341,6.687,2.26,0.013,1592.816,1198.229
200.155,6.687,2.26,0.013,1592.754,1198.229
199.969,6.687,2.26,0.013,1592.692,1198.229
199.783,6.687,2.26,0.013,1592.631,1198.229
199.597,6.687,2.26,0.013,1592.57,1198.229
199.412,6.687,2.26,0.013,1592.509,1198.229
199.226,6.687,2.26,0.013,1592.449,1198.229
199.041,6.687,2.26,0.013,1592.39,1198.229
198.857,6.687,2.26,0.013,1592.33,1198.229
198.672,6.687,2.26,0.013,1592.27,1198.229
198.487,6.687,2.26,0.013,1592.21,1198.229
198.303,6.687,2.26,0.013,1592.15,1198.229
198.119,6.687,2.26,0.013,1592.089,1198.229
197.935,6.687,2.26,0.013,1592.029,1198.229
197.752,6.687,2.26,0.013,1591.968,1198.229
197.568,6.687,2.26,0.013,1591.908,1198.229
197.385,6.687,2.26,0.013,1591.848,1198.229
197.202,6.687,2.26,0.013,1591.788,1198.229
197.019,6.687,2.26,0.013,1591.729,1198.229
196.836,6.687,2.26,0.013,1591.67,1198.229
196.654,6.687,2.26,0.013,1591.611,1198.229
196.472,6.687,2.26,0.013,1591.553,1198.229
196.29,6.687,2.26,0.013,1591.495,1198.229
196.108,6.687,2.26,0.013,1591.438,1198.229
195.926,6.687,2.26,0.013,1591.38,1198.229
195.745,6.687,2.26,0.013,1591.322,1198.229
195.563,6.687,2.26,0.013,1591.265,1198.229
195.382,6.687,2.26,0.013,1591.208,1198.229
195.202,6.687,2.26,0.013,1591.151,1198.229
195.021,6.687,2.26,0.013,1591.094,1198.229
194.84,6.687,2.26,0.013,1591.036,1198.229
194.66,6.687,2.26,0.013,1590.98,1198.229
194.48,6.687,2.26,0.013,1590.923,1198.229
194.3,6.687,2.26,0.013,1590.866,1198.229
194.12,6.687,2.26,0.013,1590.81,1198.229
193.941,6.687,2.26,0.013,1590.754,1198.229
193.761,6.687,2.26,0.013,1590.698,1198.229
193.582,6.687,2.26,0.013,1590.642,1198.229
193.403,6.687,2.26,0.013,1590.585,1198.229
193.224,6.687,2.26,0.013,1590.529,1198.229
193.046,6.687,2.26,0.013,1590.472,1198.229
192.867,6.687,2.26,0.013,1590.416,1198.229
192.689,6.687,2.26,0.013,1590.361,1198.229
192.511,6.687,2.26,0.013,1590.306,1198.229
192.333,6.687,2.26,0.013,1590.251,1198.229
192.156,6.687,2.26,0.013,1590.197,1198.229
191.978,6.687,2.26,0.013,1590.144,1198.229
191.801,6.687,2.26,0.013,1590.091,1198.229
191.624,6.687,2.26,0.013,1590.037,1198.229
191.447,6.687,2.26,0.013,1589.984,1198.229
191.27,6.687,2.26,0.013,1589.93,1198.229
191.094,6.687,2.26,0.013,1589.875,1198.229
190.917,6.687,2.26,0.013,1589.82,1198.229
190.741,6.687,2.26,0.013,1589.765,1198.229
190.565,6.687,2.26,0.013,1589.71,1198.229
190.389,6.687,2.26,0.013,1589.656,1198.229
190.214,6.687,2.26,0.013,1589.602,1198.229
190.038,6.687,2.26,0.013,1589.549,1198.229
189.863,6.687,2.26,0.013,1589.496,1198.229
189.688,6.687,2.26,0.013,1589.443,1198.229
189.513,6.687,2.26,0.013,1589.391,1198.229
189.338,6.687,2.26,0.013,1589.339,1198.229
189.163,6.687,2.26,0.013,1589.287,1198.229
188.989,6.687,2.26,0.013,1589.236,1198.229
188.815,6.687,2.26,0.013,1589.185,1198.229
188.641,6.687,2.26,0.013,1589.134,1198.229
188.467,6.687,2.26,0.013,1589.083,1198.229
188.293,6.687,2.26,0.013,1589.032,1198.229
188.119,6.687,2.26,0.013,1588.98,1198.229
187.946,6.687,2.26,0.013,1588.928,1198.229
187.773,6.687,2.26,0.013,1588.876,1198.229
187.6,6.687,2.26,0.013,1588.823,1198.229
187.427,6.687,2.26,0.013,1588.772,1198.229
187.254,6.687,2.26,0.013,1588.722,1198.229
187.082,6.687,2.26,0.013,1588.671,1198.229
186.91,6.687,2.26,0.013,1588.62,1198.229
186.737,6.687,2.26,0.013,1588.569,1198.229
186.565,6.687,2.26,0.013,1588.519,1198.229
186.394,6.687,2.26,0.013,1588.468,1198.229
186.222,6.687,2.26,0.013,1588.418,1198.229
186.05,6.687,2.26,0.013,1588.369,1198.229
185.879,6.687,2.26,0.013,1588.319,1198.229
185.708,6.687,2.26,0.013,1588.27,1198.229
185.537,6.687,2.26,0.013,1588.22,1198.229
185.366,6.687,2.26,0.013,1588.171,1198.229
185.195,6.687,2.26,0.013,1588.122,1198.229
185.025,6.687,2.26,0.013,1588.072,1198.229
184.855,6.687,2.26,0.013,1588.023,1198.229
184.685,6.687,2.26,0.013,1587.974,1198.229
184.515,6.687,2.26,0.013,1587.925,1198.229
184.345,6.687,2.26,0.013,1587.876,1198.229
184.175,6.687,2.26,0.013,1587.827,1198.229
184.006,6.687,2.26,0.013,1587.779,1198.229
183.836,6.687,2.26,0.013,1587.731,1198.229
183.667,6.687,2.26,0.013,1587.683,1198.229
183.498,6.687,2.26,0.013,1587.635,1198.229
183.329,6.687,2.26,0.013,1587.588,1198.229
183.161,6.687,2.26,0.013,1587.54,1198.229
182.992,6.687,2.26,0.013,1587.493,1198.229
182.824,6.687,2.26,0.013,1587.445,1198.229
182.655,6.687,2.26,0.013,1587.398,1198.229
182.487,6.687,2.26,0.013,1587.35,1198.229
182.319,6.687,2.26,0.013,1587.303,1198.229
182.152,6.687,2.26,0.013,1587.257,1198.229
181.984,6.687,2.26,0.013,1587.21,1198.229
181.817,6.687,2.26,0.013,1587.163,1198.229
181.65,6.687,2.26,0.013,1587.116,1198.229
181.482,6.687,2.26,0.013,1587.069,1198.229
181.315,6.687,2.26,0.013,1587.022,1198.229
181.149,6.687,2.26,0.013,1586.975,1198.229
180.982,6.687,2.26,0.013,1586.929,1198.229
180.816,6.687,2.26,0.013,1586.883,1198.229
180.649,6.687,2.26,0.013,1586.837,1198.229
180.483,6.687,2.26,0.013,1586.792,1198.229
180.317,6.687,2.26,0.013,1586.747,1198.229
180.151,6.687,2.26,0.013,1586.702,1198.229
179.986,6.687,2.26,0.013,1586.658,1198.229
179.82,6.687,2.26,0.013,1586.614,1198.229
179.655,6.687,2.26,0.013,1586.569,1198.229
179.489,6.687,2.26,0.013,1586.525,1198.229
179.324,6.687,2.26,0.013,1586.481,1198.229
179.159,6.687,2.26,0.013,1586.437,1198.229
178.995,6.687,2.26,0.013,1586.392,1198.229
178.83,6.687,2.26,0.013,1586.347,1198.229
178.665,6.687,2.26,0.013,1586.302,1198.229
178.501,6.687,2.26,0.013,1586.257,1198.229
178.337,6.687,2.26,0.013,1586.212,1198.229
178.173,6.687,2.26,0.013,1586.167,1198.229
178.009,6.687,2.26,0.013,1586.123,1198.229
177.845,6.687,2.26,0.013,1586.079,1198.229
177.682,6.687,2.26,0.013,1586.035,1198.229
177.518,6.687,2.26,0.013,1585.991,1198.229
177.355,6.687,2.26,0.013,1585.947,1198.229
177.192,6.687,2.26,0.013,1585.904,1198.229
177.029,6.687,2.26,0.013,1585.861,1198.229
176.866,6.687,2.26,0.013,1585.818,1198.229
176.703,6.687,2.26,0.013,1585.776,1198.229
176.541,6.687,2.26,0.013,1585.733,1198.229
176.378,6.687,2.26,0.013,1585.691,1198.229
176.216,6.687,2.26,0.013,1585.649,1198.229
176.054,6.687,2.26,0.013,1585.607,1198.229
175.892,6.687,2.26,0.013,1585.565,1198.229
175.73,6.687,2.26,0.013,1585.524,1198.229
175.568,6.687,2.26,0.013,1585.484,1198.229
175.407,6.687,2.26,0.013,1585.443,1198.229
175.246,6.687,2.26,0.013,1585.4,1198.229
175.084,6.687,2.26,0.013,1585.357,1198.229
174.923,6.687,2.26,0.013,1585.314,1198.229
174.762,6.687,2.26,0.013,1585.271,1198.229
174.601,6.687,2.26,0.013,1585.229,1198.229
174.441,6.687,2.26,0.013,1585.187,1198.229
174.28,6.687,2.26,0.013,1585.145,1198.229
174.12,6.687,2.26,0.013,1585.104,1198.229
173.959,6.687,2.26,0.013,1585.063,1198.229
173.799,6.687,2.26,0.013,1585.022,1198.229
173.639,6.687,2.26,0.013,1584.982,1198.229
173.479,6.687,2.26,0.013,1584.942,1198.229
173.32,6.687,2.26,0.013,1584.902,1198.229
173.16,6.687,2.26,0.013,1584.862,1198.229
173.001,6.687,2.26,0.013,1584.822,1198.229
172.841,6.687,2.26,0.013,1584.783,1198.229
172.682,6.687,2.26,0.013,1584.743,1198.229
172.523,6.687,2.26,0.013,1584.703,1198.229
172.364,6.687,2.26,0.013,1584.664,1198.229
172.206,6.687,2.26,0.013,1584.623,1198.229
172.047,6.687,2.26,0.013,1584.583,1198.229
171.888,6.687,2.26,0.013,1584.543,1198.229
171.73,6.687,2.26,0.013,1584.503,1198.229
171.572,6.687,2.26,0.013,1584.464,1198.229
171.414,6.687,2.26,0.013,1584.424,1198.229
171.256,6.687,2.26,0.013,1584.384,1198.229
171.098,6.687,2.26,0.013,1584.345,1198.229
170.94,6.687,2.26,0.013,1584.306,1198.229
170.783,6.687,2.26,0.013,1584.267,1198.229
170.626,6.687,2.26,0.013,1584.228,1198.229
170.468,6.687,2.26,0.013,1584.189,1198.229
170.311,6.687,2.26,0.013,1584.151,1198.229
170.154,6.687,2.26,0.013,1584.112,1198.229
169.997,6.687,2.26,0.013,1584.074,1198.229
169.841,6.687,2.26,0.013,1584.037,1198.229
169.684,6.687,2.26,0.013,1583.999,1198.229
169.527,6.687,2.26,0.013,1583.962,1198.229
169.371,6.687,2.26,0.013,1583.925,1198.229
169.215,6.687,2.26,0.013,1583.887,1198.229
169.059,6.687,2.26,0.013,1583.849,1198.229
168.903,6.687,2.26,0.013,1583.81,1198.229
168.747,6.687,2.26,0.013,1583.771,1198.229
168.591,6.687,2.26,0.013,1583.733,1198.229
168.436,6.687,2.26,0.013,1583.695,1198.229
168.28,6.687,2.26,0.013,1583.658,1198.229
168.125,6.687,2.26,0.013,1583.622,1198.229
167.97,6.687,2.26,0.013,1583.585,1198.229
167.815,6.687,2.26,0.013,1583.549,1198.229
167.66,6.687,2.26,0.013,1583.512,1198.229
167.505,6.687,2.26,0.013,1583.476,1198.229
167.35,6.687,2.26,0.013,1583.44,1198.229
167.196,6.687,2.26,0.013,1583.404,1198.229
167.041,6.687,2.26,0.013,1583.368,1198.229
166.887,6.687,2.26,0.013,1583.332,1198.229
166.733,6.687,2.26,0.013,1583.296,1198.229
166.579,6.687,2.26,0.013,1583.26,1198.229
166.425,6.687,2.26,0.013,1583.224,1198.229
166.271,6.687,2.26,0.013,1583.188,1198.229
166.117,6.687,2.26,0.013,1583.152,1198.229
165.964,6.687,2.26,0.013,1583.116,1198.229
165.81,6.687,2.26,0.013,1583.08,1198.229
165.657,6.687,2.26,0.013,1583.044,1198.229
165.504,6.687,2.26,0.013,1583.009,1198.229
165.351,6.687,2.26,0.013,1582.973,1198.229
165.198,6.687,2.26,0.013,1582.938,1198.229
165.045,6.687,2.26,0.013,1582.903,1198.229
164.892,6.687,2.26,0.013,1582.868,1198.229
164.74,6.687,2.26,0.013,1582.833,1198.229
164.587,6.687,2.26,0.013,1582.799,1198.229
164.435,6.687,2.26,0.013,1582.765,1198.229
164.283,6.687,2.26,0.013,1582.73,1198.229
164.131,6.687,2.26,0.013,1582.697,1198.229
163.979,6.687,2.26,0.013,1582.663,1198.229
163.827,6.687,2.26,0.013,1582.629,1198.229
163.675,6.687,2.26,0.013,1582.597,1198.229
163.523,6.687,2.26,0.013,1582.564,1198.229
163.372,6.687,2.26,0.013,1582.531,1198.229
163.22,6.687,2.26,0.013,1582.497,1198.229
163.069,6.687,2.26,0.013,1582.462,1198.229
162.918,6.687,2.26,0.013,1582.426,1198.229
162.767,6.687,2.26,0.013,1582.394,1198.229
162.616,6.687,2.26,0.013,1582.36,1198.229
162.465,6.687,2.26,0.013,1582.326,1198.229
162.315,6.687,2.26,0.013,1582.292,1198.229
162.164,6.687,2.26,0.013,1582.259,1198.229
162.014,6.687,2.26,0.013,1582.225,1198.229
161.863,6.687,2.26,0.013,1582.192,1198.229
161.713,6.687,2.26,0.013,1582.159,1198.229
161.563,6.687,2.26,0.013,1582.126,1198.229
161.413,6.687,2.26,0.013,1582.093,1198.229
161.263,6.687,2.26,0.013,1582.061,1198.229
161.113,6.687,2.26,0.013,1582.028,1198.229
160.964,6.687,2.26,0.013,1581.996,1198.229
160.814,6.687,2.26,0.013,1581.964,1198.229
160.665,6.687,2.26,0.013,1581.932,1198.229
160.515,6.687,2.26,0.013,1581.901,1198.229
160.366,6.687,2.26,0.013,1581.869,1198.229
160.217,6.687,2.26,0.013,1581.838,1198.229
160.068,6.687,2.26,0.013,1581.807,1198.229
159.919,6.687,2.26,0.013,1581.776,1198.229
159.771,6.687,2.26,0.013,1581.745,1198.229
159.622,6.687,2.26,0.013,1581.713,1198.229
159.474,6.687,2.26,0.013,1581.682,1198.229
159.325,6.687,2.26,0.013,1581.65,1198.229
159.177,6.687,2.26,0.013,1581.617,1198.229
159.029,6.687,2.26,0.013,1581.585,1198.229
158.881,6.687,2.26,0.013,1581.553,1198.229
158.733,6.687,2.26,0.013,1581.52,1198.229
158.585,6.687,2.26,0.013,1581.488,1198.229
158.437,6.687,2.26,0.013,1581.456,1198.229
158.29,6.687,2.26,0.013,1581.425,1198.229
158.142,6.687,2.26,0.013,1581.393,1198.229
157.995,6.687,2.26,0.013,1581.361,1198.229
157.847,6.687,2.26,0.013,1581.33,1198.229
157.7,6.687,2.26,0.013,1581.299,1198.229
157.553,6.687,2.26,0.013,1581.268,1198.229
157.406,6.687,2.26,0.013,1581.237,1198.229
157.259,6.687,2.26,0.013,1581.207,1198.229
157.112,6.687,2.26,0.013,1581.177,1198.229
156.966,6.687,2.26,0.013,1581.147,1198.229
156.819,6.687,2.26,0.013,1581.117,1198.229
156.673,6.687,2.26,0.013,1581.087,1198.229
156.527,6.687,2.26,0.013,1581.057,1198.229
156.38,6.687,2.26,0.013,1581.028,1198.229
156.234,6.687,2.26,0.013,1580.998,1198.229
156.088,6.687,2.26,0.013,1580.969,1198.229
155.942,6.687,2.26,0.013,1580.939,1198.229
155.797,6.687,2.26,0.013,1580.91,1198.229
155.651,6.687,2.26,0.013,1580.88,1198.229
155.505,6.687,2.26,0.013,1580.85,1198.229
155.36,6.687,2.26,0.013,1580.819,1198.229
155.214,6.687,2.26,0.013,1580.789,1198.229
155.069,6.687,2.26,0.013,1580.758,1198.229
154.924,6.687,2.26,0.013,1580.727,1198.229
154.779,6.687,2.26,0.013,1580.697,1198.229
154.634,6.687,2.26,0.013,1580.666,1198.229
154.489,6.687,2.26,0.013,1580.636,1198.229
154.344,6.687,2.26,0.013,1580.606,1198.229
154.2,6.687,2.26,0.013,1580.576,1198.229
154.055,6.687,2.26,0.013,1580.547,1198.229
153.911,6.687,2.26,0.013,1580.517,1198.229
153.767,6.687,2.26,0.013,1580.488,1198.229
153.622,6.687,2.26,0.013,1580.459,1198.229
153.478,6.687,2.26,0.013,1580.43,1198.229
153.334,6.687,2.26,0.013,1580.401,1198.229
153.19,6.687,2.26,0.013,1580.372,1198.229
153.046,6.687,2.26,0.013,1580.343,1198.229
152.903,6.687,2.26,0.013,1580.315,1198.229
152.759,6.687,2.26,0.013,1580.286,1198.229
152.616,6.687,2.26,0.013,1580.258,1198.229
152.472,6.687,2.26,0.013,1580.23,1198.229
152.329,6.687,2.26,0.013,1580.202,1198.229
152.186,6.687,2.26,0.013,1580.174,1198.229
152.043,6.687,2.26,0.013,1580.146,1198.229
151.899,6.687,2.26,0.013,1580.117,1198.229
151.757,6.687,2.26,0.013,1580.087,1198.229
151.614,6.687,2.26,0.013,1580.058,1198.229
151.471,6.687,2.26,0.013,1580.029,1198.229
151.328,6.687,2.26,0.013,1580,1198.229
151.186,6.687,2.26,0.013,1579.971,1198.229
151.044,6.687,2.26,0.013,1579.942,1198.229
150.901,6.687,2.26,0.013,1579.914,1198.229
150.759,6.687,2.26,0.013,1579.885,1198.229
150.617,6.687,2.26,0.013,1579.857,1198.229
150.475,6.687,2.26,0.013,1579.829,1198.229
150.333,6.687,2.26,0.013,1579.801,1198.229
150.191,6.687,2.26,0.013,1579.773,1198.229
150.049,6.687,2.26,0.013,1579.745,1198.229
149.908,6.687,2.26,0.013,1579.717,1198.229
149.766,6.687,2.26,0.013,1579.69,1198.229
149.625,6.687,2.26,0.013,1579.662,1198.229
149.483,6.687,2.26,0.013,1579.635,1198.229
149.342,6.687,2.26,0.013,1579.607,1198.229
149.201,6.687,2.26,0.013,1579.58,1198.229
149.06,6.687,2.26,0.013,1579.552,1198.229
148.919,6.687,2.26,0.013,1579.524,1198.229
148.778,6.687,2.26,0.013,1579.497,1198.229
148.637,6.687,2.26,0.013,1579.469,1198.229
148.497,6.687,2.26,0.013,1579.441,1198.229
148.356,6.687,2.26,0.013,1579.413,1198.229
148.215,6.687,2.26,0.013,1579.386,1198.229
148.075,6.687,2.26,0.013,1579.358,1198.229
147.935,6.687,2.26,0.013,1579.33,1198.229
147.795,6.687,2.26,0.013,1579.302,1198.229
147.654,6.687,2.26,0.013,1579.275,1198.229
147.514,6.687,2.26,0.013,1579.247,1198.229
147.375,6.687,2.26,0.013,1579.22,1198.229
147.235,6.687,2.26,0.013,1579.192,1198.229
147.095,6.687,2.26,0.013,1579.165,1198.229
